uBench  | BENCH: 2468987 -31011
uBench  | BENCH: 2469700 -61309
uBench  | BENCH: 2466757 -94550
uBench  | BENCH: 2590868 -3680
uBench  | BENCH: 2470319 -33359
uBench  | BENCH: 2519775 -13582
uBench  | BENCH: 2470625 -42955
uBench  | BENCH: 2467950 -75003
uBench  | BENCH: 2469613 -105388
uBench  | BENCH: 2590050 -15336
uBench  | BENCH: 2469506 -45828
uBench  | BENCH: 2467012 -78814
uBench  | BENCH: 2589525 10713
uBench  | BENCH: 2817882 328597
uBench  | BENCH: 2471631 300230
uBench  | BENCH: 2124137 -75631
uBench  | BENCH: 2673938 98309
uBench  | BENCH: 2439356 37667
uBench  | BENCH: 2472131 9800
uBench  | BENCH: 2471275 -18923
uBench  | BENCH: 2470900 -48021
uBench  | BENCH: 2520213 -27806
uBench  | BENCH: 2471300 -56504
uBench  | BENCH: 2466175 -90327
uBench  | BENCH: 2591106 781
uBench  | BENCH: 2470263 -28954
uBench  | BENCH: 2471418 -57534
uBench  | BENCH: 2466113 -91419
uBench  | BENCH: 2590881 -536
uBench  | BENCH: 2469794 -30740
uBench  | BENCH: 2470725 -60013
uBench  | BENCH: 2465356 -94655
uBench  | BENCH: 2591306 -3347
uBench  | BENCH: 2471013 -32332
uBench  | BENCH: 2470156 -62174
uBench  | BENCH: 2467994 -94178
uBench  | BENCH: 2589969 -4207
uBench  | BENCH: 2400937 -103268
uBench  | BENCH: 2590881 -12385
uBench  | BENCH: 2468675 -43708
uBench  | BENCH: 2468175 -75531
uBench  | BENCH: 2588000 12471
uBench  | BENCH: 2469575 -17952
uBench  | BENCH: 2469844 -48106
uBench  | BENCH: 2466806 -81298
uBench  | BENCH: 2588825 7529
uBench  | BENCH: 2469694 -22775
uBench  | BENCH: 2469788 -52985
uBench  | BENCH: 2467793 -85190
uBench  | BENCH: 2589013 3825
uBench  | BENCH: 2469675 -26498
uBench  | BENCH: 2470600 -55896
uBench  | BENCH: 2465737 -90157
uBench  | BENCH: 2532275 -57880
uBench  | BENCH: 2466225 -91653
uBench  | BENCH: 2589744 -1907
uBench  | BENCH: 2469888 -32017
uBench  | BENCH: 2468325 -63690
uBench  | BENCH: 2468675 -95013
uBench  | BENCH: 2936256 341245
uBench  | BENCH: 2471700 312947
uBench  | BENCH: 2122419 -64632
uBench  | BENCH: 2469218 -95412
uBench  | BENCH: 2589094 -6316
uBench  | BENCH: 2471475 -34839
uBench  | BENCH: 2468344 -66493
uBench  | BENCH: 2469556 -96935
uBench  | BENCH: 2591381 -5552
uBench  | BENCH: 2470882 -34668
uBench  | BENCH: 2519681 -14985
uBench  | BENCH: 2471206 -43777
uBench  | BENCH: 2467675 -76100
uBench  | BENCH: 2588913 12815
uBench  | BENCH: 2471050 -16133
uBench  | BENCH: 2471462 -44669
uBench  | BENCH: 2468356 -76311
uBench  | BENCH: 2589063 12754
uBench  | BENCH: 2470694 -16550
uBench  | BENCH: 2471106 -45442
uBench  | BENCH: 2467844 -77596
uBench  | BENCH: 2588575 10981
uBench  | BENCH: 2471893 -17124
uBench  | BENCH: 2470300 -46822
uBench  | BENCH: 2466513 -80307
uBench  | BENCH: 2590237 9932
uBench  | BENCH: 2400788 -89278
uBench  | BENCH: 2590806 1530
uBench  | BENCH: 2470106 -28362
uBench  | BENCH: 2471244 -57116
uBench  | BENCH: 2465763 -91351
uBench  | BENCH: 2589875 -1474
uBench  | BENCH: 2555487 54015
uBench  | BENCH: 2350831 -95152
uBench  | BENCH: 2558544 -36606
uBench  | BENCH: 2468606 -67998
uBench  | BENCH: 2467863 -100133
uBench  | BENCH: 2590000 -10131
uBench  | BENCH: 2816187 306058
uBench  | BENCH: 2122900 -71040
uBench  | BENCH: 2471000 -100038
uBench  | BENCH: 2589119 -10917
uBench  | BENCH: 2520381 9466
uBench  | BENCH: 2469769 -20763
uBench  | BENCH: 2469381 -51380
uBench  | BENCH: 2466013 -85365
uBench  | BENCH: 2589694 4331
uBench  | BENCH: 2469525 -26142
uBench  | BENCH: 2469762 -56378
uBench  | BENCH: 2466225 -90151
uBench  | BENCH: 2589894 -255
uBench  | BENCH: 2469875 -30378
uBench  | BENCH: 2469269 -61107
uBench  | BENCH: 2467375 -93730
uBench  | BENCH: 2590200 -3528
uBench  | BENCH: 2470900 -32626
uBench  | BENCH: 2468275 -64349
uBench  | BENCH: 2469837 -94510
uBench  | BENCH: 2518825 -75683
uBench  | BENCH: 2644275 68594
uBench  | BENCH: 2351369 -80035
uBench  | BENCH: 2589312 9279
uBench  | BENCH: 2470800 -19919
uBench  | BENCH: 2816275 296358
uBench  | BENCH: 2121257 -82383
uBench  | BENCH: 2591625 9244
uBench  | BENCH: 2470731 -20023
uBench  | BENCH: 2469344 -50677
uBench  | BENCH: 2466218 -84457
uBench  | BENCH: 2590307 5852
uBench  | BENCH: 2470568 -23578
uBench  | BENCH: 2469819 -53757
uBench  | BENCH: 2466169 -87586
uBench  | BENCH: 2589269 1685
uBench  | BENCH: 2399300 -99013
uBench  | BENCH: 2590400 -8611
uBench  | BENCH: 2469925 -38684
uBench  | BENCH: 2467475 -71207
uBench  | BENCH: 2469031 -102174
uBench  | BENCH: 2589481 -12691
uBench  | BENCH: 2468719 -43970
uBench  | BENCH: 2468269 -75699
uBench  | BENCH: 2588725 13028
uBench  | BENCH: 2468906 -18064
uBench  | BENCH: 2470294 -47768
uBench  | BENCH: 2466062 -81704
uBench  | BENCH: 2589444 7742
uBench  | BENCH: 2470319 -21937
uBench  | BENCH: 2469606 -52329
uBench  | BENCH: 2466531 -85796
uBench  | BENCH: 2520894 -64900
uBench  | BENCH: 2469025 -95873
uBench  | BENCH: 2590481 -5390
uBench  | BENCH: 2469838 -35550
uBench  | BENCH: 2467312 -68236
uBench  | BENCH: 2468338 -99896
uBench  | BENCH: 2936612 336718
uBench  | BENCH: 2471075 307795
uBench  | BENCH: 2123619 -68584
uBench  | BENCH: 2469131 -99451
uBench  | BENCH: 2589619 -9830
uBench  | BENCH: 2469375 -40453
uBench  | BENCH: 2466881 -73570
uBench  | BENCH: 2469694 -103874
uBench  | BENCH: 2589119 -14753
uBench  | BENCH: 2470318 -44433
uBench  | BENCH: 2519707 -24724
uBench  | BENCH: 2470100 -54622
uBench  | BENCH: 2466631 -87989
uBench  | BENCH: 2590931 2944
uBench  | BENCH: 2469938 -27116
uBench  | BENCH: 2470562 -56552
uBench  | BENCH: 2465619 -90931
uBench  | BENCH: 2589444 -1485
uBench  | BENCH: 2469012 -32471
uBench  | BENCH: 2468225 -64244
uBench  | BENCH: 2468500 -95742
uBench  | BENCH: 2589019 -6721
uBench  | BENCH: 2471094 -35625
uBench  | BENCH: 2467225 -68398
uBench  | BENCH: 2468700 -99696
uBench  | BENCH: 2589006 -10688
uBench  | BENCH: 2520550 9864
uBench  | BENCH: 2469337 -20797
uBench  | BENCH: 2469863 -50932
uBench  | BENCH: 2466025 -84905
uBench  | BENCH: 2589650 4747
uBench  | BENCH: 2469481 -25770
uBench  | BENCH: 2469788 -55980
uBench  | BENCH: 2466518 -89460
uBench  | BENCH: 2589144 -314
uBench  | BENCH: 2470075 -30237
uBench  | BENCH: 2469313 -60922
uBench  | BENCH: 2465787 -95133
uBench  | BENCH: 2590481 -4650
uBench  | BENCH: 2469338 -35310
uBench  | BENCH: 2467256 -68052
uBench  | BENCH: 2468219 -99831
uBench  | BENCH: 2518325 -81504
uBench  | BENCH: 2590500 8998
uBench  | BENCH: 2471031 -19969
uBench  | BENCH: 2468531 -51436
uBench  | BENCH: 2466338 -85096
uBench  | BENCH: 2589937 4843
uBench  | BENCH: 2470550 -24605
uBench  | BENCH: 2815888 291285
uBench  | BENCH: 2121994 -86719
uBench  | BENCH: 2592481 5764
uBench  | BENCH: 2472275 -21959
uBench  | BENCH: 2469775 -52182
uBench  | BENCH: 2465719 -86461
uBench  | BENCH: 2589493 3034
uBench  | BENCH: 2470219 -26745
uBench  | BENCH: 2470213 -56530
uBench  | BENCH: 2518468 -38060
uBench  | BENCH: 2467425 -70633
uBench  | BENCH: 2471925 -98706
uBench  | BENCH: 2591838 -6866
uBench  | BENCH: 2470769 -36095
uBench  | BENCH: 2468462 -67631
uBench  | BENCH: 2470681 -96948
uBench  | BENCH: 2592732 -4214
uBench  | BENCH: 2470293 -33919
uBench  | BENCH: 2468500 -65417
uBench  | BENCH: 2469069 -96346
